year,quarter,region,sector,enterprise_size,number_of_enterprises,number_of_saudi_employees,number_of_saudi_employees (male),number_of_saudi_employees (female),number_of_foreign_employees,number_of_foreign_employees (male),number_of_foreign_employees (female)
2022,1,Eastern Province,"Travel Agencies, Tour Operators, Reservation Services, and Related Activities",small,50,276,132,144,462,451,11
2022,1,Eastern Province,"Travel Agencies, Tour Operators, Reservation Services, and Related Activities",large,1,273,258,15,334,333,1
2022,1,Eastern Province,"Travel Agencies, Tour Operators, Reservation Services, and Related Activities",micro,128,96,47,49,198,194,4
2022,1,Eastern Province,"Travel Agencies, Tour Operators, Reservation Services, and Related Activities",medium,7,184,119,65,392,390,2
2022,1,Al Bahah Region,"Travel Agencies, Tour Operators, Reservation Services, and Related Activities",micro,2,0,0,0,6,6,0
2022,1,Al Jawf Region,"Travel Agencies, Tour Operators, Reservation Services, and Related Activities",small,3,13,12,1,35,34,1
2022,1,Al Jawf Region,"Travel Agencies, Tour Operators, Reservation Services, and Related Activities",micro,7,3,0,3,14,14,0
2022,1,Northern Borders Region,"Travel Agencies, Tour Operators, Reservation Services, and Related Activities",small,1,2,2,0,8,8,0
2022,1,Northern Borders Region,"Travel Agencies, Tour Operators, Reservation Services, and Related Activities",large,1,116,113,3,537,537,0
2022,1,Northern Borders Region,"Travel Agencies, Tour Operators, Reservation Services, and Related Activities",micro,8,2,1,1,11,11,0
2022,1,Riyadh Region,"Travel Agencies, Tour Operators, Reservation Services, and Related Activities",small,102,489,233,256,1026,1014,12
2022,1,Riyadh Region,"Travel Agencies, Tour Operators, Reservation Services, and Related Activities",large,4,609,454,155,917,890,27
2022,1,Riyadh Region,"Travel Agencies, Tour Operators, Reservation Services, and Related Activities",micro,278,184,87,97,459,445,14
2022,1,Riyadh Region,"Travel Agencies, Tour Operators, Reservation Services, and Related Activities",medium,16,557,331,226,1127,1121,6
2022,1,Qassim Region,"Travel Agencies, Tour Operators, Reservation Services, and Related Activities",small,18,41,14,27,147,146,1
2022,1,Qassim Region,"Travel Agencies, Tour Operators, Reservation Services, and Related Activities",micro,65,19,9,10,157,156,1
2022,1,Al Madinah Region,"Travel Agencies, Tour Operators, Reservation Services, and Related Activities",small,21,76,40,36,253,243,10
2022,1,Al Madinah Region,"Travel Agencies, Tour Operators, Reservation Services, and Related Activities",micro,101,64,41,23,154,153,1
2022,1,Al Madinah Region,"Travel Agencies, Tour Operators, Reservation Services, and Related Activities",medium,1,8,4,4,47,46,1
2022,1,Tabuk Region,"Travel Agencies, Tour Operators, Reservation Services, and Related Activities",small,5,22,13,9,35,35,0
2022,1,Tabuk Region,"Travel Agencies, Tour Operators, Reservation Services, and Related Activities",micro,24,11,7,4,45,44,1
2022,1,Jazan Region,"Travel Agencies, Tour Operators, Reservation Services, and Related Activities",small,1,6,3,3,8,8,0
2022,1,Jazan Region,"Travel Agencies, Tour Operators, Reservation Services, and Related Activities",micro,21,14,7,7,31,31,0
2022,1,Hail Region,"Travel Agencies, Tour Operators, Reservation Services, and Related Activities",small,6,24,6,18,69,69,0
2022,1,Hail Region,"Travel Agencies, Tour Operators, Reservation Services, and Related Activities",micro,16,11,7,4,28,28,0
2022,1,Aseer Region,"Travel Agencies, Tour Operators, Reservation Services, and Related Activities",small,5,20,9,11,41,41,0
2022,1,Aseer Region,"Travel Agencies, Tour Operators, Reservation Services, and Related Activities",micro,33,23,16,7,43,43,0
2022,1,Makkah Region,"Travel Agencies, Tour Operators, Reservation Services, and Related Activities",small,184,667,416,251,1558,1534,24
2022,1,Makkah Region,"Travel Agencies, Tour Operators, Reservation Services, and Related Activities",large,1,3141,2862,279,790,790,0
2022,1,Makkah Region,"Travel Agencies, Tour Operators, Reservation Services, and Related Activities",micro,496,352,214,138,814,793,21
2022,1,Makkah Region,"Travel Agencies, Tour Operators, Reservation Services, and Related Activities",medium,17,790,518,272,1036,1029,7
2022,1,Najran Region,"Travel Agencies, Tour Operators, Reservation Services, and Related Activities",small,3,8,2,6,31,31,0
2022,1,Najran Region,"Travel Agencies, Tour Operators, Reservation Services, and Related Activities",micro,8,8,5,3,18,18,0
2022,1,Eastern Province,Fishing and Aquaculture,small,131,141,57,84,1395,1393,2
2022,1,Eastern Province,Fishing and Aquaculture,micro,275,52,33,19,686,686,0
2022,1,Eastern Province,Fishing and Aquaculture,medium,1,7,3,4,57,57,0
2022,1,Al Bahah Region,Fishing and Aquaculture,small,1,1,1,0,5,5,0
2022,1,Al Bahah Region,Fishing and Aquaculture,micro,12,0,0,0,22,22,0
2022,1,Al Jawf Region,Fishing and Aquaculture,micro,39,3,1,2,55,55,0
2022,1,Northern Borders Region,Fishing and Aquaculture,micro,11,1,1,0,23,23,0
2022,1,Riyadh Region,Fishing and Aquaculture,small,17,28,17,11,135,135,0
2022,1,Riyadh Region,Fishing and Aquaculture,micro,4309,524,260,264,7828,7775,53
2022,1,Qassim Region,Fishing and Aquaculture,small,2,7,0,7,15,15,0
2022,1,Qassim Region,Fishing and Aquaculture,micro,97,15,10,5,192,192,0
2022,1,Al Madinah Region,Fishing and Aquaculture,small,10,4,0,4,81,81,0
2022,1,Al Madinah Region,Fishing and Aquaculture,micro,100,5,2,3,190,185,5
2022,1,Tabuk Region,Fishing and Aquaculture,small,3,4,2,2,31,31,0
2022,1,Tabuk Region,Fishing and Aquaculture,micro,41,4,2,2,61,60,1
2022,1,Jazan Region,Fishing and Aquaculture,small,52,136,96,40,601,600,1
2022,1,Jazan Region,Fishing and Aquaculture,large,1,78,72,6,233,233,0
2022,1,Jazan Region,Fishing and Aquaculture,micro,142,19,10,9,311,311,0
2022,1,Jazan Region,Fishing and Aquaculture,medium,1,30,11,19,196,196,0
2022,1,Hail Region,Fishing and Aquaculture,small,2,3,2,1,10,10,0
2022,1,Hail Region,Fishing and Aquaculture,micro,168,20,12,8,339,337,2
2022,1,Aseer Region,Fishing and Aquaculture,small,7,3,2,1,59,59,0
2022,1,Aseer Region,Fishing and Aquaculture,micro,121,11,3,8,247,247,0
2022,1,Makkah Region,Fishing and Aquaculture,small,35,35,18,17,395,393,2
2022,1,Makkah Region,Fishing and Aquaculture,large,1,605,511,94,2476,2471,5
2022,1,Makkah Region,Fishing and Aquaculture,micro,530,60,27,33,962,920,42
2022,1,Makkah Region,Fishing and Aquaculture,medium,1,1,1,0,67,67,0
2022,1,Najran Region,Fishing and Aquaculture,small,1,0,0,0,8,8,0
2022,1,Najran Region,Fishing and Aquaculture,micro,176,18,5,13,311,310,1
2022,1,Eastern Province,Manufacture of Shaped Metal Products (Except Machinery and Equipment),small,567,1763,1101,662,6818,6810,8
2022,1,Eastern Province,Manufacture of Shaped Metal Products (Except Machinery and Equipment),large,20,6818,6540,278,7312,7304,8
2022,1,Eastern Province,Manufacture of Shaped Metal Products (Except Machinery and Equipment),micro,1273,420,237,183,2586,2582,4
2022,1,Eastern Province,Manufacture of Shaped Metal Products (Except Machinery and Equipment),medium,94,2486,1956,530,7567,7560,7
2022,1,Al Bahah Region,Manufacture of Shaped Metal Products (Except Machinery and Equipment),small,22,20,14,6,202,202,0
2022,1,Al Bahah Region,Manufacture of Shaped Metal Products (Except Machinery and Equipment),micro,226,57,35,22,451,451,0
2022,1,Al Bahah Region,Manufacture of Shaped Metal Products (Except Machinery and Equipment),medium,1,18,17,1,61,61,0
2022,1,Al Jawf Region,Manufacture of Shaped Metal Products (Except Machinery and Equipment),small,30,39,32,7,327,327,0
2022,1,Al Jawf Region,Manufacture of Shaped Metal Products (Except Machinery and Equipment),micro,219,29,24,5,468,467,1
2022,1,Northern Borders Region,Manufacture of Shaped Metal Products (Except Machinery and Equipment),small,14,25,15,10,144,144,0
2022,1,Northern Borders Region,Manufacture of Shaped Metal Products (Except Machinery and Equipment),micro,87,19,12,7,202,198,4
2022,1,Riyadh Region,Manufacture of Shaped Metal Products (Except Machinery and Equipment),small,861,2588,1152,1436,10922,10864,58
2022,1,Riyadh Region,Manufacture of Shaped Metal Products (Except Machinery and Equipment),large,16,2714,1711,1003,5750,5741,9
2022,1,Riyadh Region,Manufacture of Shaped Metal Products (Except Machinery and Equipment),micro,2126,599,277,322,4681,4664,17
2022,1,Riyadh Region,Manufacture of Shaped Metal Products (Except Machinery and Equipment),medium,122,2690,1530,1160,9468,9438,30
2022,1,Qassim Region,Manufacture of Shaped Metal Products (Except Machinery and Equipment),small,162,328,188,140,1743,1743,0
2022,1,Qassim Region,Manufacture of Shaped Metal Products (Except Machinery and Equipment),large,1,119,97,22,360,360,0
2022,1,Qassim Region,Manufacture of Shaped Metal Products (Except Machinery and Equipment),micro,1026,191,118,73,2443,2436,7
2022,1,Qassim Region,Manufacture of Shaped Metal Products (Except Machinery and Equipment),medium,5,43,31,12,275,275,0
2022,1,Al Madinah Region,Manufacture of Shaped Metal Products (Except Machinery and Equipment),small,76,168,102,66,819,816,3
2022,1,Al Madinah Region,Manufacture of Shaped Metal Products (Except Machinery and Equipment),micro,509,109,65,44,1130,1129,1
2022,1,Al Madinah Region,Manufacture of Shaped Metal Products (Except Machinery and Equipment),medium,6,144,115,29,544,544,0
2022,1,Tabuk Region,Manufacture of Shaped Metal Products (Except Machinery and Equipment),small,38,70,31,39,366,364,2
2022,1,Tabuk Region,Manufacture of Shaped Metal Products (Except Machinery and Equipment),micro,185,44,28,16,389,389,0
2022,1,Tabuk Region,Manufacture of Shaped Metal Products (Except Machinery and Equipment),medium,1,16,15,1,75,75,0
2022,1,Jazan Region,Manufacture of Shaped Metal Products (Except Machinery and Equipment),small,51,76,53,23,386,385,1
2022,1,Jazan Region,Manufacture of Shaped Metal Products (Except Machinery and Equipment),micro,676,83,54,29,1609,1606,3
2022,1,Hail Region,Manufacture of Shaped Metal Products (Except Machinery and Equipment),small,45,125,74,51,496,496,0
2022,1,Hail Region,Manufacture of Shaped Metal Products (Except Machinery and Equipment),micro,201,41,24,17,428,424,4
2022,1,Hail Region,Manufacture of Shaped Metal Products (Except Machinery and Equipment),medium,2,27,8,19,117,117,0
2022,1,Aseer Region,Manufacture of Shaped Metal Products (Except Machinery and Equipment),small,78,184,113,71,866,865,1
2022,1,Aseer Region,Manufacture of Shaped Metal Products (Except Machinery and Equipment),micro,809,157,88,69,1817,1816,1
2022,1,Aseer Region,Manufacture of Shaped Metal Products (Except Machinery and Equipment),medium,5,63,41,22,321,321,0
2022,1,Makkah Region,Manufacture of Shaped Metal Products (Except Machinery and Equipment),small,341,861,436,425,4057,4038,19
2022,1,Makkah Region,Manufacture of Shaped Metal Products (Except Machinery and Equipment),large,8,914,612,302,2765,2760,5
2022,1,Makkah Region,Manufacture of Shaped Metal Products (Except Machinery and Equipment),micro,1750,334,192,142,3958,3945,13
2022,1,Makkah Region,Manufacture of Shaped Metal Products (Except Machinery and Equipment),medium,75,2086,1573,513,6078,6069,9
2022,1,Najran Region,Manufacture of Shaped Metal Products (Except Machinery and Equipment),small,19,26,10,16,204,204,0
2022,1,Najran Region,Manufacture of Shaped Metal Products (Except Machinery and Equipment),micro,280,33,18,15,692,690,2
2022,1,Najran Region,Manufacture of Shaped Metal Products (Except Machinery and Equipment),medium,1,0,0,0,58,58,0
2022,1,Eastern Province,Manufacture of Other Non-Metallic Mineral Products,small,232,875,551,324,3398,3396,2
2022,1,Eastern Province,Manufacture of Other Non-Metallic Mineral Products,large,14,2321,1968,353,5040,5038,2
2022,1,Eastern Province,Manufacture of Other Non-Metallic Mineral Products,micro,342,143,79,64,692,691,1
2022,1,Eastern Province,Manufacture of Other Non-Metallic Mineral Products,medium,88,1953,1410,543,6756,6753,3
2022,1,Al Bahah Region,Manufacture of Other Non-Metallic Mineral Products,small,18,58,41,17,253,252,1
2022,1,Al Bahah Region,Manufacture of Other Non-Metallic Mineral Products,micro,44,8,7,1,89,89,0
2022,1,Al Bahah Region,Manufacture of Other Non-Metallic Mineral Products,medium,4,69,51,18,297,296,1
2022,1,Al Jawf Region,Manufacture of Other Non-Metallic Mineral Products,small,25,104,79,25,326,326,0
2022,1,Al Jawf Region,Manufacture of Other Non-Metallic Mineral Products,micro,53,16,13,3,107,106,1
2022,1,Al Jawf Region,Manufacture of Other Non-Metallic Mineral Products,medium,6,122,100,22,471,471,0
2022,1,Northern Borders Region,Manufacture of Other Non-Metallic Mineral Products,small,20,53,25,28,221,221,0
2022,1,Northern Borders Region,Manufacture of Other Non-Metallic Mineral Products,large,1,243,241,2,239,239,0
2022,1,Northern Borders Region,Manufacture of Other Non-Metallic Mineral Products,micro,31,13,8,5,59,59,0
2022,1,Northern Borders Region,Manufacture of Other Non-Metallic Mineral Products,medium,1,34,16,18,85,85,0
2022,1,Riyadh Region,Manufacture of Other Non-Metallic Mineral Products,small,847,1768,849,919,12216,12183,33
2022,1,Riyadh Region,Manufacture of Other Non-Metallic Mineral Products,large,29,4559,3574,985,11707,11695,12
2022,1,Riyadh Region,Manufacture of Other Non-Metallic Mineral Products,micro,1498,410,208,202,3292,3284,8
2022,1,Riyadh Region,Manufacture of Other Non-Metallic Mineral Products,medium,140,3082,1757,1325,11218,11193,25
2022,1,Qassim Region,Manufacture of Other Non-Metallic Mineral Products,small,97,225,127,98,1306,1303,3
2022,1,Qassim Region,Manufacture of Other Non-Metallic Mineral Products,large,5,825,669,156,2860,2860,0
2022,1,Qassim Region,Manufacture of Other Non-Metallic Mineral Products,micro,216,54,30,24,489,488,1
2022,1,Qassim Region,Manufacture of Other Non-Metallic Mineral Products,medium,27,556,368,188,2067,2066,1
2022,1,Al Madinah Region,Manufacture of Other Non-Metallic Mineral Products,small,70,216,142,74,788,787,1
2022,1,Al Madinah Region,Manufacture of Other Non-Metallic Mineral Products,large,4,687,538,149,1218,1216,2
2022,1,Al Madinah Region,Manufacture of Other Non-Metallic Mineral Products,micro,156,55,32,23,321,320,1
2022,1,Al Madinah Region,Manufacture of Other Non-Metallic Mineral Products,medium,27,789,607,182,2120,2119,1
2022,1,Tabuk Region,Manufacture of Other Non-Metallic Mineral Products,small,26,133,84,49,290,290,0
2022,1,Tabuk Region,Manufacture of Other Non-Metallic Mineral Products,large,2,335,315,20,565,563,2
2022,1,Tabuk Region,Manufacture of Other Non-Metallic Mineral Products,micro,50,14,9,5,90,90,0
2022,1,Tabuk Region,Manufacture of Other Non-Metallic Mineral Products,medium,2,25,15,10,82,82,0
2022,1,Jazan Region,Manufacture of Other Non-Metallic Mineral Products,small,48,225,132,93,698,697,1
2022,1,Jazan Region,Manufacture of Other Non-Metallic Mineral Products,large,1,347,347,0,159,159,0
2022,1,Jazan Region,Manufacture of Other Non-Metallic Mineral Products,micro,126,51,37,14,278,277,1
2022,1,Jazan Region,Manufacture of Other Non-Metallic Mineral Products,medium,17,373,254,119,1257,1257,0
2022,1,Hail Region,Manufacture of Other Non-Metallic Mineral Products,small,39,57,39,18,437,435,2
2022,1,Hail Region,Manufacture of Other Non-Metallic Mineral Products,large,1,257,257,0,170,170,0
2022,1,Hail Region,Manufacture of Other Non-Metallic Mineral Products,micro,128,26,14,12,293,292,1
2022,1,Hail Region,Manufacture of Other Non-Metallic Mineral Products,medium,6,122,88,34,414,414,0
2022,1,Aseer Region,Manufacture of Other Non-Metallic Mineral Products,small,112,373,238,135,1458,1458,0
2022,1,Aseer Region,Manufacture of Other Non-Metallic Mineral Products,large,6,969,898,71,2107,2107,0
2022,1,Aseer Region,Manufacture of Other Non-Metallic Mineral Products,micro,230,76,48,28,477,474,3
2022,1,Aseer Region,Manufacture of Other Non-Metallic Mineral Products,medium,29,597,413,184,2234,2233,1
2022,1,Makkah Region,Manufacture of Other Non-Metallic Mineral Products,small,184,721,391,330,2658,2650,8
2022,1,Makkah Region,Manufacture of Other Non-Metallic Mineral Products,large,17,2865,2030,835,6857,6853,4
2022,1,Makkah Region,Manufacture of Other Non-Metallic Mineral Products,micro,402,142,74,68,849,846,3
2022,1,Makkah Region,Manufacture of Other Non-Metallic Mineral Products,medium,49,1039,660,379,3784,3779,5
2022,1,Najran Region,Manufacture of Other Non-Metallic Mineral Products,small,34,135,77,58,579,566,13
2022,1,Najran Region,Manufacture of Other Non-Metallic Mineral Products,large,1,346,329,17,389,389,0
2022,1,Najran Region,Manufacture of Other Non-Metallic Mineral Products,micro,71,19,12,7,171,170,1
2022,1,Najran Region,Manufacture of Other Non-Metallic Mineral Products,medium,11,291,194,97,1014,1006,8
2022,1,Eastern Province,Manufacture of Rubber and Plastic Products,small,39,160,105,55,666,666,0
2022,1,Eastern Province,Manufacture of Rubber and Plastic Products,large,6,690,560,130,1704,1704,0
2022,1,Eastern Province,Manufacture of Rubber and Plastic Products,micro,39,13,7,6,86,86,0
2022,1,Eastern Province,Manufacture of Rubber and Plastic Products,medium,31,868,652,216,2234,2232,2
2022,1,Al Bahah Region,Manufacture of Rubber and Plastic Products,small,1,3,2,1,21,21,0
2022,1,Al Bahah Region,Manufacture of Rubber and Plastic Products,micro,2,1,0,1,1,1,0
2022,1,Al Jawf Region,Manufacture of Rubber and Plastic Products,small,2,11,7,4,40,40,0
2022,1,Al Jawf Region,Manufacture of Rubber and Plastic Products,large,1,121,82,39,354,353,1
2022,1,Al Jawf Region,Manufacture of Rubber and Plastic Products,micro,8,0,0,0,17,17,0
2022,1,Northern Borders Region,Manufacture of Rubber and Plastic Products,small,2,3,1,2,17,17,0
2022,1,Riyadh Region,Manufacture of Rubber and Plastic Products,small,115,522,233,289,2030,2028,2
2022,1,Riyadh Region,Manufacture of Rubber and Plastic Products,large,11,950,573,377,3120,3115,5
2022,1,Riyadh Region,Manufacture of Rubber and Plastic Products,micro,168,57,23,34,346,345,1
2022,1,Riyadh Region,Manufacture of Rubber and Plastic Products,medium,62,1608,862,746,5033,5023,10
2022,1,Qassim Region,Manufacture of Rubber and Plastic Products,small,5,41,23,18,78,78,0
2022,1,Qassim Region,Manufacture of Rubber and Plastic Products,micro,7,0,0,0,16,16,0
2022,1,Qassim Region,Manufacture of Rubber and Plastic Products,medium,5,158,94,64,424,423,1
2022,1,Al Madinah Region,Manufacture of Rubber and Plastic Products,small,18,79,38,41,318,317,1
2022,1,Al Madinah Region,Manufacture of Rubber and Plastic Products,large,1,139,73,66,347,347,0
2022,1,Al Madinah Region,Manufacture of Rubber and Plastic Products,micro,19,19,12,7,29,29,0
2022,1,Al Madinah Region,Manufacture of Rubber and Plastic Products,medium,7,229,167,62,593,587,6
2022,1,Tabuk Region,Manufacture of Rubber and Plastic Products,small,5,20,12,8,72,72,0
2022,1,Tabuk Region,Manufacture of Rubber and Plastic Products,micro,7,5,0,5,16,16,0
2022,1,Jazan Region,Manufacture of Rubber and Plastic Products,small,3,7,6,1,44,44,0
2022,1,Jazan Region,Manufacture of Rubber and Plastic Products,micro,2,0,0,0,7,7,0
2022,1,Hail Region,Manufacture of Rubber and Plastic Products,small,3,17,6,11,45,45,0
2022,1,Hail Region,Manufacture of Rubber and Plastic Products,micro,4,1,1,0,10,10,0
2022,1,Hail Region,Manufacture of Rubber and Plastic Products,medium,3,108,84,24,180,180,0
2022,1,Aseer Region,Manufacture of Rubber and Plastic Products,small,8,18,14,4,100,100,0
2022,1,Aseer Region,Manufacture of Rubber and Plastic Products,micro,19,4,3,1,40,40,0
2022,1,Aseer Region,Manufacture of Rubber and Plastic Products,medium,2,50,21,29,159,159,0
2022,1,Makkah Region,Manufacture of Rubber and Plastic Products,small,70,351,195,156,1212,1197,15
2022,1,Makkah Region,Manufacture of Rubber and Plastic Products,large,8,1043,792,251,2594,2577,17
2022,1,Makkah Region,Manufacture of Rubber and Plastic Products,micro,76,41,28,13,129,128,1
2022,1,Makkah Region,Manufacture of Rubber and Plastic Products,medium,35,1005,578,427,3033,3028,5
2022,1,Najran Region,Manufacture of Rubber and Plastic Products,small,3,20,14,6,66,66,0
2022,1,Najran Region,Manufacture of Rubber and Plastic Products,micro,10,5,1,4,29,29,0
2022,1,Najran Region,Manufacture of Rubber and Plastic Products,medium,1,40,16,24,56,56,0
2022,1,Eastern Province,Manufacture of Coke and Refined Petroleum Products,small,22,166,147,19,310,309,1
2022,1,Eastern Province,Manufacture of Coke and Refined Petroleum Products,large,6,2927,2883,44,1387,1386,1
2022,1,Eastern Province,Manufacture of Coke and Refined Petroleum Products,micro,13,12,9,3,23,23,0
2022,1,Eastern Province,Manufacture of Coke and Refined Petroleum Products,medium,8,463,435,28,671,671,0
2022,1,Al Jawf Region,Manufacture of Coke and Refined Petroleum Products,micro,1,0,0,0,3,3,0
2022,1,Riyadh Region,Manufacture of Coke and Refined Petroleum Products,small,29,143,90,53,372,369,3
2022,1,Riyadh Region,Manufacture of Coke and Refined Petroleum Products,micro,44,34,21,13,72,71,1
2022,1,Riyadh Region,Manufacture of Coke and Refined Petroleum Products,medium,2,116,88,28,163,162,1
2022,1,Qassim Region,Manufacture of Coke and Refined Petroleum Products,small,3,19,18,1,45,45,0
2022,1,Qassim Region,Manufacture of Coke and Refined Petroleum Products,micro,1,1,1,0,3,3,0
2022,1,Al Madinah Region,Manufacture of Coke and Refined Petroleum Products,small,1,8,8,0,23,23,0
2022,1,Al Madinah Region,Manufacture of Coke and Refined Petroleum Products,large,4,1937,1879,58,781,781,0
2022,1,Al Madinah Region,Manufacture of Coke and Refined Petroleum Products,micro,5,2,2,0,8,8,0
2022,1,Al Madinah Region,Manufacture of Coke and Refined Petroleum Products,medium,3,272,272,0,155,155,0
2022,1,Jazan Region,Manufacture of Coke and Refined Petroleum Products,medium,1,103,101,2,34,29,5
2022,1,Aseer Region,Manufacture of Coke and Refined Petroleum Products,small,1,7,4,3,12,12,0
2022,1,Aseer Region,Manufacture of Coke and Refined Petroleum Products,micro,1,2,1,1,1,1,0
2022,1,Makkah Region,Manufacture of Coke and Refined Petroleum Products,small,16,94,70,24,206,204,2
2022,1,Makkah Region,Manufacture of Coke and Refined Petroleum Products,large,2,2834,2748,86,1545,1533,12
2022,1,Makkah Region,Manufacture of Coke and Refined Petroleum Products,micro,15,8,5,3,23,23,0
2022,1,Makkah Region,Manufacture of Coke and Refined Petroleum Products,medium,3,21,15,6,160,160,0
2022,1,Eastern Province,Manufacture of Paper and Paper Products,small,40,233,126,107,679,677,2
2022,1,Eastern Province,Manufacture of Paper and Paper Products,large,5,547,414,133,1379,1377,2
2022,1,Eastern Province,Manufacture of Paper and Paper Products,micro,47,25,15,10,103,102,1
2022,1,Eastern Province,Manufacture of Paper and Paper Products,medium,15,517,363,154,1392,1390,2
2022,1,Al Bahah Region,Manufacture of Paper and Paper Products,micro,1,1,1,0,4,4,0
2022,1,Al Jawf Region,Manufacture of Paper and Paper Products,small,1,3,2,1,12,12,0
2022,1,Al Jawf Region,Manufacture of Paper and Paper Products,micro,2,1,1,0,7,7,0
2022,1,Northern Borders Region,Manufacture of Paper and Paper Products,small,2,4,2,2,15,15,0
2022,1,Northern Borders Region,Manufacture of Paper and Paper Products,micro,2,0,0,0,5,5,0
2022,1,Riyadh Region,Manufacture of Paper and Paper Products,small,73,318,147,171,1019,1016,3
2022,1,Riyadh Region,Manufacture of Paper and Paper Products,large,2,83,28,55,432,432,0
2022,1,Riyadh Region,Manufacture of Paper and Paper Products,micro,104,48,20,28,229,229,0
2022,1,Riyadh Region,Manufacture of Paper and Paper Products,medium,31,850,478,372,2491,2487,4
2022,1,Qassim Region,Manufacture of Paper and Paper Products,small,8,33,15,18,101,101,0
2022,1,Qassim Region,Manufacture of Paper and Paper Products,micro,14,6,2,4,31,31,0
2022,1,Qassim Region,Manufacture of Paper and Paper Products,medium,3,90,75,15,288,287,1
2022,1,Al Madinah Region,Manufacture of Paper and Paper Products,small,10,43,22,21,137,136,1
2022,1,Al Madinah Region,Manufacture of Paper and Paper Products,micro,13,5,3,2,27,27,0
2022,1,Al Madinah Region,Manufacture of Paper and Paper Products,medium,1,17,7,10,66,66,0
2022,1,Tabuk Region,Manufacture of Paper and Paper Products,small,3,13,6,7,40,40,0
2022,1,Tabuk Region,Manufacture of Paper and Paper Products,micro,4,2,1,1,9,9,0
2022,1,Jazan Region,Manufacture of Paper and Paper Products,small,1,2,1,1,6,6,0
2022,1,Jazan Region,Manufacture of Paper and Paper Products,micro,5,4,1,3,10,10,0
2022,1,Jazan Region,Manufacture of Paper and Paper Products,medium,1,17,8,9,46,46,0
2022,1,Hail Region,Manufacture of Paper and Paper Products,small,2,7,4,3,23,23,0
2022,1,Hail Region,Manufacture of Paper and Paper Products,micro,5,5,3,2,10,10,0
2022,1,Aseer Region,Manufacture of Paper and Paper Products,small,9,37,19,18,87,87,0
2022,1,Aseer Region,Manufacture of Paper and Paper Products,micro,10,4,3,1,26,25,1
2022,1,Makkah Region,Manufacture of Paper and Paper Products,small,62,239,138,101,844,839,5
2022,1,Makkah Region,Manufacture of Paper and Paper Products,large,5,713,541,172,1665,1658,7
2022,1,Makkah Region,Manufacture of Paper and Paper Products,micro,48,28,18,10,93,91,2
2022,1,Makkah Region,Manufacture of Paper and Paper Products,medium,21,666,352,314,1587,1577,10
2022,1,Najran Region,Manufacture of Paper and Paper Products,small,3,1,1,0,21,21,0
2022,1,Najran Region,Manufacture of Paper and Paper Products,micro,18,4,1,3,39,39,0
2022,1,Eastern Province,Manufacture of Chemicals and Chemical Products,small,149,985,746,239,2070,2063,7
2022,1,Eastern Province,Manufacture of Chemicals and Chemical Products,large,16,11081,10980,101,2573,2572,1
2022,1,Eastern Province,Manufacture of Chemicals and Chemical Products,micro,159,117,60,57,240,239,1
2022,1,Eastern Province,Manufacture of Chemicals and Chemical Products,medium,66,3063,2715,348,4227,4221,6
2022,1,Al Bahah Region,Manufacture of Chemicals and Chemical Products,small,4,5,4,1,67,67,0
2022,1,Al Bahah Region,Manufacture of Chemicals and Chemical Products,micro,4,0,0,0,8,8,0
2022,1,Al Jawf Region,Manufacture of Chemicals and Chemical Products,small,1,2,1,1,4,4,0
2022,1,Al Jawf Region,Manufacture of Chemicals and Chemical Products,micro,8,3,1,2,14,14,0
2022,1,Northern Borders Region,Manufacture of Chemicals and Chemical Products,large,1,575,570,5,231,231,0
2022,1,Northern Borders Region,Manufacture of Chemicals and Chemical Products,micro,8,2,1,1,18,18,0
2022,1,Riyadh Region,Manufacture of Chemicals and Chemical Products,small,320,1429,701,728,4688,4673,15
2022,1,Riyadh Region,Manufacture of Chemicals and Chemical Products,large,13,2189,1404,785,3758,3744,14
2022,1,Riyadh Region,Manufacture of Chemicals and Chemical Products,micro,436,214,91,123,856,847,9
2022,1,Riyadh Region,Manufacture of Chemicals and Chemical Products,medium,78,2008,1070,938,6025,6014,11
2022,1,Qassim Region,Manufacture of Chemicals and Chemical Products,small,14,22,9,13,132,132,0
2022,1,Qassim Region,Manufacture of Chemicals and Chemical Products,large,2,508,483,25,1193,1192,1
2022,1,Qassim Region,Manufacture of Chemicals and Chemical Products,micro,27,12,8,4,47,47,0
2022,1,Qassim Region,Manufacture of Chemicals and Chemical Products,medium,9,185,111,74,489,489,0
2022,1,Al Madinah Region,Manufacture of Chemicals and Chemical Products,small,25,140,110,30,334,332,2
2022,1,Al Madinah Region,Manufacture of Chemicals and Chemical Products,large,4,2581,2572,9,378,378,0
2022,1,Al Madinah Region,Manufacture of Chemicals and Chemical Products,micro,39,20,13,7,81,80,1
2022,1,Al Madinah Region,Manufacture of Chemicals and Chemical Products,medium,11,254,217,37,608,604,4
2022,1,Tabuk Region,Manufacture of Chemicals and Chemical Products,small,6,31,17,14,104,104,0
2022,1,Tabuk Region,Manufacture of Chemicals and Chemical Products,large,1,518,323,195,728,723,5
2022,1,Tabuk Region,Manufacture of Chemicals and Chemical Products,micro,15,6,4,2,30,30,0
2022,1,Tabuk Region,Manufacture of Chemicals and Chemical Products,medium,1,7,5,2,43,43,0
2022,1,Jazan Region,Manufacture of Chemicals and Chemical Products,small,9,36,22,14,112,112,0
