السنة,الربع,المنطقة,النشاط الاقتصادي,حجم المنشأة,عدد المنشآت,عدد العاملين السعوديين,عدد السعوديين (ذكور),عدد السعوديات (إناث),عدد العاملين الأجانب,عدد الأجانب (ذكور),عدد الأجنبيات (إناث)
2022,3,المنطقة الشرقية,وكالات السفر ومشغّلو الجولات السياحية وخدمات الحجز والأنشطة المتصلة بها,صغيرة,50,311,142,169,525,519,6
2022,3,المنطقة الشرقية,وكالات السفر ومشغّلو الجولات السياحية وخدمات الحجز والأنشطة المتصلة بها,كبيرة,1,228,212,16,212,211,1
2022,3,المنطقة الشرقية,وكالات السفر ومشغّلو الجولات السياحية وخدمات الحجز والأنشطة المتصلة بها,متناهية الصغر,186,133,65,68,265,264,1
2022,3,المنطقة الشرقية,وكالات السفر ومشغّلو الجولات السياحية وخدمات الحجز والأنشطة المتصلة بها,متوسطة,5,188,107,81,274,273,1
2022,3,منطقة الباحة,وكالات السفر ومشغّلو الجولات السياحية وخدمات الحجز والأنشطة المتصلة بها,متناهية الصغر,4,2,1,1,9,9,0
2022,3,منطقة الجوف,وكالات السفر ومشغّلو الجولات السياحية وخدمات الحجز والأنشطة المتصلة بها,صغيرة,2,11,7,4,18,18,0
2022,3,منطقة الجوف,وكالات السفر ومشغّلو الجولات السياحية وخدمات الحجز والأنشطة المتصلة بها,متناهية الصغر,15,6,2,4,27,27,0
2022,3,منطقة الحدود الشمالية,وكالات السفر ومشغّلو الجولات السياحية وخدمات الحجز والأنشطة المتصلة بها,صغيرة,2,5,5,0,22,22,0
2022,3,منطقة الحدود الشمالية,وكالات السفر ومشغّلو الجولات السياحية وخدمات الحجز والأنشطة المتصلة بها,متناهية الصغر,11,3,2,1,20,19,1
2022,3,منطقة الرياض,وكالات السفر ومشغّلو الجولات السياحية وخدمات الحجز والأنشطة المتصلة بها,صغيرة,149,846,372,474,1289,1273,16
2022,3,منطقة الرياض,وكالات السفر ومشغّلو الجولات السياحية وخدمات الحجز والأنشطة المتصلة بها,كبيرة,3,512,348,164,678,654,24
2022,3,منطقة الرياض,وكالات السفر ومشغّلو الجولات السياحية وخدمات الحجز والأنشطة المتصلة بها,متناهية الصغر,370,215,100,115,635,618,17
2022,3,منطقة الرياض,وكالات السفر ومشغّلو الجولات السياحية وخدمات الحجز والأنشطة المتصلة بها,متوسطة,16,708,449,259,1009,999,10
2022,3,منطقة القصيم,وكالات السفر ومشغّلو الجولات السياحية وخدمات الحجز والأنشطة المتصلة بها,صغيرة,12,29,10,19,94,93,1
2022,3,منطقة القصيم,وكالات السفر ومشغّلو الجولات السياحية وخدمات الحجز والأنشطة المتصلة بها,متناهية الصغر,79,23,8,15,189,185,4
2022,3,منطقة المدينة المنورة,وكالات السفر ومشغّلو الجولات السياحية وخدمات الحجز والأنشطة المتصلة بها,صغيرة,28,124,71,53,307,303,4
2022,3,منطقة المدينة المنورة,وكالات السفر ومشغّلو الجولات السياحية وخدمات الحجز والأنشطة المتصلة بها,متناهية الصغر,127,86,51,35,196,191,5
2022,3,منطقة تبوك,وكالات السفر ومشغّلو الجولات السياحية وخدمات الحجز والأنشطة المتصلة بها,صغيرة,8,30,16,14,66,66,0
2022,3,منطقة تبوك,وكالات السفر ومشغّلو الجولات السياحية وخدمات الحجز والأنشطة المتصلة بها,متناهية الصغر,35,14,5,9,52,51,1
2022,3,منطقة جازان,وكالات السفر ومشغّلو الجولات السياحية وخدمات الحجز والأنشطة المتصلة بها,صغيرة,2,7,1,6,17,17,0
2022,3,منطقة جازان,وكالات السفر ومشغّلو الجولات السياحية وخدمات الحجز والأنشطة المتصلة بها,متناهية الصغر,26,18,7,11,37,37,0
2022,3,منطقة حائل,وكالات السفر ومشغّلو الجولات السياحية وخدمات الحجز والأنشطة المتصلة بها,صغيرة,7,31,10,21,65,63,2
2022,3,منطقة حائل,وكالات السفر ومشغّلو الجولات السياحية وخدمات الحجز والأنشطة المتصلة بها,متناهية الصغر,22,14,8,6,39,39,0
2022,3,منطقة عسير,وكالات السفر ومشغّلو الجولات السياحية وخدمات الحجز والأنشطة المتصلة بها,صغيرة,4,15,6,9,31,31,0
2022,3,منطقة عسير,وكالات السفر ومشغّلو الجولات السياحية وخدمات الحجز والأنشطة المتصلة بها,متناهية الصغر,55,32,22,10,92,92,0
2022,3,منطقة مكة المكرمة,وكالات السفر ومشغّلو الجولات السياحية وخدمات الحجز والأنشطة المتصلة بها,صغيرة,200,785,468,317,1538,1508,30
2022,3,منطقة مكة المكرمة,وكالات السفر ومشغّلو الجولات السياحية وخدمات الحجز والأنشطة المتصلة بها,كبيرة,2,3560,3020,540,1273,1272,1
2022,3,منطقة مكة المكرمة,وكالات السفر ومشغّلو الجولات السياحية وخدمات الحجز والأنشطة المتصلة بها,متناهية الصغر,648,482,302,180,1086,1063,23
2022,3,منطقة مكة المكرمة,وكالات السفر ومشغّلو الجولات السياحية وخدمات الحجز والأنشطة المتصلة بها,متوسطة,12,506,222,284,559,558,1
2022,3,منطقة نجران,وكالات السفر ومشغّلو الجولات السياحية وخدمات الحجز والأنشطة المتصلة بها,صغيرة,4,11,3,8,31,31,0
2022,3,منطقة نجران,وكالات السفر ومشغّلو الجولات السياحية وخدمات الحجز والأنشطة المتصلة بها,متناهية الصغر,9,5,5,0,18,18,0
2022,3,المنطقة الشرقية,صيد الأسماك وتربية المائيات,صغيرة,132,93,36,57,1240,1239,1
2022,3,المنطقة الشرقية,صيد الأسماك وتربية المائيات,متناهية الصغر,1106,129,64,65,2828,2824,4
2022,3,منطقة الباحة,صيد الأسماك وتربية المائيات,صغيرة,1,0,0,0,7,7,0
